Alabama A & M University,http://www.aamu.edu/admissions/undergraduateadmissions/pages/contactinfo.aspx,[u'admissions@aamu.edu'],,
University of Alabama at Birmingham,https://www.uab.edu/students/undergraduate-admissions/,[],,
University of Alabama in Huntsville,http://www.uah.edu/admissions/undergraduate/office,[u'uahadmissions@uah.edu'],,
Alabama State University,http://www.alasu.edu/admissions/,[u'admissions@alasu.edu'],,
The University of Alabama,http://gobama.ua.edu/contact/,[],,
Auburn University at Montgomery,http://www.auburn.edu/admissions/,[u'admissions@auburn.edu'],,
Birmingham Southern College,http://www.bsc.edu/admission/,[],,
Concordia College Alabama,https://www.concordiacollege.edu/admission-aid/contact-admissions/,[u'admissions@cord.edu'],,
South University-Montgomery,https://www.southuniversity.edu/Admissions,[u'csprogramadmin@edmc.edu'],,
Faulkner University,https://www.faulkner.edu/undergrad/admissions/,[u'admissions@faulkner.edu'],,
Herzing University-Birmingham,https://www.herzing.edu/files/herzing-university-undergraduate-catalog.pdf,"[u'F@5.x', u'yt@p28.k', u'0@O.Q', u'atl-info@herzing.edu']",,
Faulkner University,https://www.faulkner.edu/undergrad/admissions/,[u'admissions@faulkner.edu'],,
Jacksonville State University,http://www.jsu.edu/admissions/,[],,
Judson College,http://www.judsonu.edu/admissions/,[],,
University of West Alabama,http://www.uwa.edu/undergraduate_students.aspx,[u'admissions@uwa.edu'],,
Miles College,https://www.miles.edu/admissions/0/About-Admissions-,"[u'jjohnson@miles.edu', u'bmcclure@miles.edu', u'crobertson@miles.edu', u'amayfield@miles.edu']",,
University of Mobile,http://umobile.edu/undergraduate-admissions/,[],,
University of Montevallo,http://www.montevallo.edu/assets/Undergraduate-Application.pdf,[u'T1@G.j'],,
University of North Alabama,https://www.una.edu/admissions/contact-admissions.html,[u'admissions@una.edu'],,
Oakwood University,http://www.oakwood.edu/admissions,[u'admission@oakwood.edu'],,
Samford University,http://www.samford.edu/admission/,[],,
Selma University,https://admissions.ucf.edu/contact/,[u'admission@ucf.edu'],,
University of South Alabama,http://southalabama.edu/contactusa/index.html,[u'admiss@southalabama.edu'],,
Spring Hill College,http://www.shc.edu/admissions,[],,
Southeastern Bible College,https://bigfuture.collegeboard.org/college-university-search/southeastern-bible-college,[],,
Stillman College,http://www.stillman.edu/enrollment/office_of_admissions.aspx,[],,
Talladega College,http://www.talladega.edu/students/admissions.asp,[u'admissions@talladega.edu'],,
Troy University,http://trojan.troy.edu/etroy/ugadmissionrequirements.html,[u'etroyundergraduate@troy.edu'],,
Tuskegee University,http://www.tuskegee.edu/admissions.aspx,[u'ig-badge-sprite-32@2x.png'],,
University of Alaska Anchorage,http://www.uaa.alaska.edu/admissions/contact_us.cfm,[u'admissions@uaa.alaska.edu'],,
Alaska Bible College,https://www.nyack.edu/2015/UndergradAppNyack,[],,
University of Alaska Fairbanks,http://www.uaf.edu/admissions/,[u'admissions@uaf.edu'],,
University of Alaska Southeast,http://www.uas.alaska.edu/apply/admission/,[u'admissions@uas.alaska.edu'],,
Alaska Pacific University,http://www.alaskapacific.edu/admissions/contact-admissions/,[],,
Charter College-Anchorage,http://colleges.startclass.com/l/69/Charter-College-Anchorage,[],,
Everest College-Phoenix,http://www.everest.edu/getting_in,[],,
American Indian College of the Assemblies of God Inc,http://www.aicag.edu/,[u'info@aicag.edu'],,
College America-Flagstaff,http://www.american.edu/admissions/,[u'admissions@american.edu'],,
Brookline College-Phoenix,http://colleges.startclass.com/l/85/Brookline-College-Phoenix,[],,
Arizona State University-Tempe,https://students.asu.edu/contact/admissions,[u'mjolsen3@asu.edu'],,
University of Arizona,http://admissions.arizona.edu/general/ua-admissions-contact-information,[u'admissions@arizona.edu'],,
